Include Background
0. 0.0384721
1. 0.216224
2. 0.207179
3. 0.248899
4. 0.0952036
5. 0.0981239
6. 0.262679
7. 0.301263
8. 0.209486
9. 0.247824
10. 0.19398
11. 0.06675

Except Background
0. 0.097072
1. 0.543281
2. 0.524817
3. 0.606537
4. 0.19771
5. 0.189239
6. 0.495904
7. 0.578388
8. 0.410948
9. 0.536785
10. 0.484528
11. 0.165942
