Include Background
0. 0.161579
1. 0.141275
2. 0.143046
3. 0.136328
4. 0.171964
5. 0.161201
6. 0.135316
7. 0.108464
8. 0.11462
9. 0.135316
10. 0.177809
11. 0.164109

Except Background
0. 0.506328
1. 0.440169
2. 0.353438
3. 0.311792
4. 0.405589
5. 0.399695
6. 0.420827
7. 0.338193
8. 0.283139
9. 0.317514
10. 0.404875
11. 0.404522
