(58, 68) 1 1 1 
(58, 73) 1 1 1 
(59, 67) -1 -1 -1 
(59, 70) -1 -1 -1 
(59, 75) 1 1 1 
(60, 72) -1 -1 -1 
(60, 75) -1 -1 -1 
(60, 76) -1 -1 -1 
(61, 70) 1 1 1 
(61, 73) -1 -1 -1 
(62, 75) -1 -1 -1 
(63, 76) 1 1 1 
(64, 77) 1 1 1 
(64, 94) 1 1 1 
(65, 77) -1 -1 -1 
(65, 80) -1 -1 -1 
(65, 89) 1 1 1 
(67, 76) 1 1 1 
(69, 88) -1 -1 -1 
(70, 84) -1 -1 -1 
(72, 83) -1 -1 -1 
(72, 85) 1 1 1 
(72, 91) -1 -1 -1 
(73, 85) 1 1 1 
(74, 91) 1 1 1 
(74, 96) 1 1 1 
(76, 95) -1 -1 -1 
(78, 95) 1 1 1 
(78, 103) 1 1 1 
(78, 118) -1 -1 -1 
(79, 120) 1 1 1 
(81, 106) 1 1 1 
(81, 108) -1 -1 -1 
(82, 107) -1 -1 -1 
(83, 72) -1 -1 -1 
(83, 106) -1 -1 -1 
(84, 70) -1 -1 -1 
(85, 68) -1 -1 -1 
(85, 72) -1 -1 -1 
(85, 111) -1 -1 -1 
(86, 106) 1 1 1 
(87, 111) 1 1 1 
(88, 110) 1 1 1 
(88, 114) 1 1 1 
(88, 119) 1 1 1 
(89, 115) -1 -1 -1 
(90, 71) -1 -1 -1 
(90, 122) 1 1 1 
(91, 75) -1 -1 -1 
(92, 74) 1 1 1 
(92, 118) -1 -1 -1 
(93, 122) 1 1 1 
(94, 75) 1 1 1 
(94, 120) 1 1 1 
(94, 125) -1 -1 -1 
(94, 126) -1 -1 -1 
(95, 76) -1 -1 -1 
(95, 124) 1 1 1 
(95, 126) 1 1 1 
(96, 131) -1 -1 -1 
(97, 128) -1 -1 -1 
(97, 134) -1 -1 -1 
(98, 132) 1 1 1 
(100, 139) 1 1 1 
(101, 131) 1 1 1 
(101, 132) 1 1 1 
(101, 137) -1 -1 -1 
(103, 139) -1 -1 -1 
(103, 141) -1 -1 -1 
(103, 143) 1 1 1 
(103, 144) 1 1 1 
(104, 135) 1 1 1 
(104, 142) -1 -1 -1 
(104, 162) 1 1 1 
(105, 136) 1 1 1 
(105, 139) 1 1 1 
(105, 143) -1 -1 -1 
(106, 144) 1 1 1 
(106, 148) 1 1 1 
(106, 149) 1 1 1 
(107, 141) -1 -1 -1 
(107, 142) -1 -1 -1 
(107, 143) 1 1 1 
(107, 146) 1 1 1 
