(74, 151) 0 1 0 
(75, 146) 0 -1 0 
(75, 154) 0 1 0 
(76, 145) 0 1 0 
(76, 153) 0 1 0 
(77, 145) 0 -1 0 
(77, 146) 0 -1 0 
(78, 146) 0 1 0 
(78, 153) 0 -1 0 
(79, 144) 0 -1 0 
(81, 153) 0 1 0 
(83, 148) 0 1 0 
(83, 152) 0 -1 0 
(84, 142) 0 1 0 
(84, 146) 0 -1 0 
(86, 145) 0 1 0 
(87, 152) 0 -1 0 
(88, 143) 0 -1 0 
(89, 152) 0 1 0 
(90, 138) 0 -1 0 
(91, 140) 0 1 0 
(91, 143) 0 -1 0 
(93, 139) 0 1 0 
(93, 143) 0 1 0 
(94, 137) 0 1 0 
(94, 141) 0 1 0 
(94, 149) 0 -1 0 
(96, 151) 0 1 0 
(105, 90) 0 0 1 
(108, 88) -1 -1 0 
(110, 86) -1 -1 0 
(112, 84) -1 -1 0 
(114, 79) -1 -1 -1 
(115, 77) 0 0 -1 
(117, 66) 0 0 1 
(117, 68) 1 1 1 
(117, 70) 1 1 0 
(126, 61) 0 0 -1 
(130, 220) -1 -1 0 
(132, 62) -1 0 0 
(134, 112) 0 1 0 
(134, 114) 0 -1 0 
(134, 217) -1 -1 0 
(135, 115) 0 1 0 
(135, 118) 0 1 0 
(135, 119) 0 1 0 
(136, 111) 0 1 0 
(136, 114) 0 1 0 
(136, 116) 0 1 0 
(136, 123) 0 1 0 
(137, 63) 0 1 1 
(137, 111) 0 -1 0 
(137, 115) 0 -1 0 
(137, 119) 0 1 0 
(137, 123) 0 -1 0 
(137, 129) 0 -1 0 
(138, 116) 0 -1 0 
(138, 118) 0 -1 0 
(138, 119) 0 1 0 
(138, 120) 0 1 0 
(138, 121) 0 1 0 
(138, 124) 0 -1 0 
(138, 211) -1 -1 -1 
(139, 114) 0 -1 0 
(139, 120) 0 -1 0 
(139, 121) 0 -1 0 
(139, 209) -1 -1 -1 
(140, 125) 0 1 0 
(140, 126) 0 1 0 
(140, 128) 0 -1 0 
(140, 137) 0 1 0 
(140, 203) 1 1 0 
(140, 204) 0 0 -1 
(140, 228) 0 1 0 
(141, 111) 0 1 0 
(141, 118) 0 -1 0 
(141, 119) 0 -1 0 
(141, 139) 0 1 0 
(141, 141) 0 1 0 
(141, 197) 0 0 -1 
(141, 198) 0 0 -1 
(141, 199) 0 0 -1 
(141, 200) 0 0 -1 
(141, 201) 0 0 1 
(142, 120) 0 1 0 
(142, 133) 0 -1 0 
(142, 136) 0 -1 0 
(143, 109) 0 -1 0 
(143, 118) 0 -1 0 
(143, 124) 0 1 0 
(143, 127) 0 -1 0 
(144, 121) 0 -1 0 
(144, 136) 0 1 0 
(145, 112) 0 -1 0 
(145, 117) 0 -1 0 
(145, 125) 0 1 0 
(146, 126) 0 -1 0 
(146, 135) 0 -1 0 
(147, 106) 0 1 0 
(147, 136) 0 -1 0 
(147, 138) 0 1 0 
(148, 112) 0 -1 0 
(148, 122) 0 1 0 
(148, 123) 0 1 0 
(148, 124) 0 1 0 
(148, 185) 0 0 -1 
(149, 108) 0 1 0 
(149, 125) 0 -1 0 
(149, 131) 0 -1 0 
(149, 138) 0 -1 0 
(149, 185) 0 -1 0 
(150, 103) 0 1 0 
(150, 106) 0 1 0 
(150, 111) 0 -1 0 
(150, 127) 0 -1 0 
(150, 134) 0 -1 0 
(150, 185) -1 0 0 
(151, 104) 0 -1 0 
(151, 117) 0 1 0 
(151, 119) 0 -1 0 
(151, 123) 0 1 0 
(151, 132) 0 1 0 
(152, 104) 0 -1 0 
(152, 106) 0 1 0 
(152, 108) 0 1 0 
(152, 124) 0 -1 0 
(153, 136) 0 -1 0 
(154, 114) 0 -1 0 
(154, 115) 0 1 0 
(154, 132) 0 -1 0 
(154, 133) 0 -1 0 
(155, 113) 0 1 0 
(155, 123) 0 -1 0 
(155, 184) 0 -1 -1 
(156, 101) 0 1 0 
(156, 103) 0 1 0 
(156, 105) 0 -1 0 
(156, 113) 0 -1 0 
(156, 115) 0 1 0 
(156, 117) 0 -1 0 
(156, 119) 0 1 0 
(156, 129) 0 -1 0 
(156, 136) 0 1 0 
(157, 105) 0 1 0 
(157, 111) 0 1 0 
(157, 116) 0 1 0 
(158, 122) 0 -1 0 
(158, 130) 0 1 0 
(158, 131) 0 -1 0 
(158, 132) 0 -1 0 
(158, 136) 0 -1 0 
(158, 137) 0 1 0 
(159, 138) 0 1 0 
(160, 134) 0 1 0 
(161, 116) 0 0 -1 
(161, 137) 0 -1 0 
(162, 116) 0 0 -1 
(162, 131) 0 -1 0 
(162, 134) 0 -1 0 
(163, 116) 0 0 -1 
(164, 116) 0 0 -1 
(165, 116) 0 0 -1 
(165, 134) 0 1 0 
(165, 136) 0 1 0 
(165, 215) 0 -1 0 
(166, 130) 0 -1 0 
(167, 134) 0 -1 0 
(168, 136) 0 1 0 
(169, 135) 0 1 0 
(170, 212) 0 1 0 
(171, 115) -1 -1 0 
(175, 208) 0 -1 0 
(181, 119) 0 0 1 
(182, 119) 0 0 -1 
