(64, 84) 197 197 201 10 85 10 
(74, 90) 10 10 225 10 10 226 
(81, 69) 10 85 10 255 255 255 
(85, 105) 175 175 179 175 175 178 
(86, 103) 187 187 191 188 188 191 
(87, 99) 209 209 213 210 210 214 
(87, 101) 199 199 203 198 198 202 
(88, 94) 236 236 240 235 235 240 
(88, 97) 221 221 225 220 220 224 
(89, 91) 250 250 254 249 249 254 
(99, 84) 55 91 169 55 91 168 
(102, 67) 10 85 10 255 0 255 
(102, 84) 55 93 171 56 93 172 
(105, 85) 42 69 124 42 68 124 
(110, 85) 57 95 175 57 95 176 
(111, 56) 10 117 10 10 85 10 
(120, 117) 61 103 192 61 104 192 
(122, 119) 10 87 10 10 86 10 
(122, 203) 197 197 201 163 10 10 
(124, 118) 10 88 10 10 87 10 
(124, 120) 10 88 10 10 89 10 
(125, 119) 10 88 10 10 89 10 
(125, 120) 10 89 10 10 90 10 
(126, 115) 10 88 10 10 87 10 
(126, 121) 10 90 10 10 91 10 
(126, 126) 10 92 10 10 91 10 
(127, 110) 10 85 10 10 86 10 
(127, 124) 10 91 10 10 92 10 
(127, 125) 10 92 10 10 91 10 
(127, 128) 10 91 10 10 92 10 
(128, 109) 10 86 10 10 85 10 
(128, 111) 10 86 10 10 87 10 
(128, 125) 10 92 10 10 91 10 
(128, 126) 10 92 10 10 91 10 
(128, 128) 10 91 10 10 92 10 
(129, 111) 10 88 10 10 87 10 
(129, 116) 10 90 10 10 91 10 
(129, 122) 10 92 10 10 91 10 
(129, 123) 10 92 10 10 91 10 
(129, 125) 10 91 10 10 92 10 
(129, 126) 10 91 10 10 92 10 
(130, 123) 10 92 10 10 91 10 
(130, 128) 10 90 10 10 91 10 
(130, 131) 10 89 10 10 90 10 
(131, 111) 10 88 10 10 89 10 
(131, 120) 10 92 10 10 91 10 
(131, 121) 10 92 10 10 91 10 
(131, 123) 10 91 10 10 92 10 
(131, 129) 10 90 10 10 89 10 
(132, 107) 10 87 10 10 88 10 
(132, 118) 10 92 10 10 91 10 
(132, 125) 10 90 10 10 91 10 
(133, 106) 10 88 10 10 87 10 
(133, 118) 10 92 10 10 91 10 
(133, 119) 10 92 10 10 91 10 
(133, 126) 10 90 10 10 89 10 
(133, 133) 10 86 10 10 87 10 
(133, 137) 52 87 160 52 87 159 
(134, 104) 10 87 10 10 88 10 
(134, 110) 10 90 10 10 91 10 
(134, 115) 10 92 10 10 91 10 
(134, 118) 10 91 10 10 92 10 
(134, 122) 10 90 10 10 91 10 
(134, 133) 60 100 186 60 101 187 
(134, 134) 54 91 167 54 90 167 
(135, 107) 10 90 10 10 89 10 
(135, 109) 10 91 10 10 90 10 
(135, 113) 10 91 10 10 92 10 
(135, 115) 10 92 10 10 91 10 
(135, 116) 10 92 10 10 91 10 
(135, 123) 10 90 10 10 89 10 
(135, 124) 10 89 10 10 90 10 
(135, 126) 10 89 10 10 88 10 
(135, 134) 10 84 10 10 83 10 
(135, 139) 10 80 10 10 81 10 
(136, 98) 10 84 10 10 85 10 
(136, 102) 10 88 10 10 87 10 
(136, 108) 10 91 10 10 90 10 
(136, 109) 10 91 10 10 90 10 
(136, 112) 10 92 10 10 91 10 
(136, 113) 10 92 10 10 91 10 
(136, 116) 10 91 10 10 92 10 
(136, 119) 10 90 10 10 91 10 
(136, 129) 10 86 10 10 85 10 
(136, 131) 10 84 10 10 85 10 
(137, 113) 10 92 10 10 91 10 
(137, 120) 10 90 10 10 89 10 
(137, 121) 10 89 10 10 90 10 
(137, 131) 10 84 10 10 83 10 
(137, 133) 10 82 10 10 83 10 
(137, 138) 10 79 10 10 80 10 
(137, 139) 10 78 10 10 79 10 
(138, 102) 10 89 10 10 88 10 
(138, 110) 10 92 10 10 91 10 
(138, 111) 10 92 10 10 91 10 
(138, 113) 10 91 10 10 92 10 
(138, 116) 10 90 10 10 91 10 
(138, 130) 10 83 10 10 84 10 
(139, 108) 10 92 10 10 91 10 
(139, 126) 10 85 10 10 84 10 
(139, 128) 10 84 10 10 83 10 
(140, 93) 10 84 10 10 85 10 
(140, 108) 10 92 10 10 91 10 
(140, 109) 10 92 10 10 91 10 
(140, 111) 10 91 10 10 92 10 
(140, 113) 10 90 10 10 91 10 
(140, 121) 10 88 10 10 87 10 
(140, 123) 10 85 10 10 86 10 
(140, 127) 10 83 10 10 84 10 
(140, 133) 10 80 10 10 79 10 
(141, 98) 10 89 10 10 88 10 
(141, 99) 10 89 10 10 90 10 
(141, 108) 10 91 10 10 92 10 
(141, 109) 10 91 10 10 92 10 
(141, 120) 10 87 10 10 88 10 
(141, 123) 10 85 10 10 84 10 
(141, 134) 10 78 10 10 77 10 
(142, 93) 10 87 10 10 86 10 
(142, 94) 10 87 10 10 88 10 
(142, 103) 10 91 10 10 92 10 
(142, 105) 10 92 10 10 91 10 
(142, 106) 10 92 10 10 91 10 
(142, 110) 10 90 10 10 91 10 
(142, 113) 10 90 10 10 89 10 
(142, 118) 10 88 10 10 87 10 
(142, 124) 10 83 10 10 84 10 
(142, 125) 10 83 10 10 82 10 
(142, 128) 10 80 10 10 81 10 
(143, 90) 10 86 10 10 85 10 
(143, 93) 10 88 10 10 87 10 
(143, 103) 10 92 10 10 91 10 
(143, 106) 10 91 10 10 92 10 
(143, 120) 10 85 10 10 84 10 
(144, 88) 10 84 10 10 85 10 
(144, 95) 10 89 10 10 90 10 
(144, 97) 10 91 10 10 90 10 
(144, 98) 10 91 10 10 90 10 
(144, 101) 10 92 10 10 91 10 
(144, 103) 10 92 10 10 91 10 
(144, 107) 10 90 10 10 91 10 
(144, 116) 10 87 10 10 86 10 
(144, 121) 10 83 10 10 84 10 
(144, 129) 10 78 10 10 77 10 
(145, 100) 10 92 10 10 91 10 
(145, 101) 10 92 10 10 91 10 
(145, 108) 10 90 10 10 89 10 
(145, 114) 10 87 10 10 88 10 
(145, 121) 10 82 10 10 81 10 
(145, 123) 10 81 10 10 80 10 
(145, 126) 10 78 10 10 79 10 
(145, 204) 179 179 183 180 180 183 
(146, 101) 10 91 10 10 92 10 
(146, 104) 10 90 10 10 91 10 
(146, 118) 10 83 10 10 84 10 
(146, 126) 10 77 10 10 78 10 
(147, 92) 10 90 10 10 91 10 
(147, 98) 10 92 10 10 91 10 
(147, 99) 10 92 10 10 91 10 
(147, 105) 10 90 10 10 89 10 
(147, 120) 10 80 10 10 81 10 
(147, 201) 197 197 200 197 197 201 
(148, 83) 10 85 10 10 84 10 
(148, 95) 10 91 10 10 92 10 
(148, 98) 10 91 10 10 92 10 
(148, 99) 10 91 10 10 92 10 
(148, 110) 10 86 10 10 87 10 
(148, 120) 10 80 10 10 79 10 
(148, 199) 206 206 210 207 207 211 
(149, 85) 10 87 10 10 88 10 
(149, 94) 10 92 10 10 91 10 
(149, 95) 10 92 10 10 91 10 
(149, 96) 10 92 10 10 91 10 
(149, 103) 10 89 10 10 90 10 
(149, 117) 10 80 10 10 81 10 
(149, 121) 10 78 10 10 77 10 
(149, 195) 226 226 231 227 227 231 
(149, 196) 221 221 226 222 222 226 
(150, 84) 10 88 10 10 87 10 
(150, 87) 10 89 10 10 90 10 
(150, 96) 10 91 10 10 92 10 
(150, 101) 10 90 10 10 89 10 
(150, 189) 250 250 255 250 250 254 
(150, 191) 242 242 247 243 243 248 
(150, 192) 238 238 243 239 239 243 
(150, 193) 234 234 239 234 234 238 
(151, 87) 10 90 10 10 91 10 
(151, 93) 10 92 10 10 91 10 
(151, 100) 10 89 10 10 90 10 
(151, 108) 10 84 10 10 85 10 
(151, 120) 10 75 10 10 76 10 
(152, 86) 10 91 10 10 90 10 
(152, 87) 10 91 10 10 90 10 
(152, 91) 10 92 10 10 91 10 
(152, 98) 10 90 10 10 89 10 
(152, 101) 10 89 10 10 88 10 
(152, 112) 10 81 10 10 80 10 
(152, 116) 10 78 10 10 77 10 
(153, 80) 10 88 10 10 87 10 
(153, 83) 10 89 10 10 90 10 
(153, 89) 10 92 10 10 91 10 
(153, 91) 10 91 10 10 92 10 
(153, 94) 10 90 10 10 91 10 
(153, 97) 10 89 10 10 90 10 
(153, 105) 10 84 10 10 85 10 
(153, 107) 10 83 10 10 84 10 
(153, 113) 10 78 10 10 79 10 
(154, 87) 10 91 10 10 92 10 
(154, 88) 10 92 10 10 91 10 
(154, 89) 10 92 10 10 91 10 
(154, 95) 10 90 10 10 89 10 
(154, 100) 10 88 10 10 87 10 
(154, 105) 10 84 10 10 83 10 
(154, 109) 10 80 10 10 81 10 
(154, 113) 10 77 10 10 78 10 
(154, 114) 10 76 10 10 77 10 
(155, 78) 10 88 10 10 87 10 
(155, 82) 10 91 10 10 90 10 
(155, 86) 10 92 10 10 91 10 
(155, 89) 10 91 10 10 92 10 
(155, 100) 10 85 10 10 86 10 
(156, 76) 10 87 10 10 88 10 
(156, 86) 10 92 10 10 91 10 
(156, 92) 10 90 10 10 89 10 
(156, 93) 10 89 10 10 90 10 
(156, 100) 10 85 10 10 84 10 
(156, 106) 10 80 10 10 81 10 
(156, 107) 10 79 10 10 80 10 
(157, 75) 10 88 10 10 87 10 
(157, 78) 10 90 10 10 89 10 
(157, 86) 10 91 10 10 92 10 
(157, 108) 10 78 10 10 77 10 
(157, 109) 10 76 10 10 77 10 
(158, 71) 10 86 10 10 85 10 
(158, 78) 10 91 10 10 90 10 
(158, 83) 10 92 10 10 91 10 
(158, 89) 10 90 10 10 89 10 
(158, 90) 10 89 10 10 90 10 
(158, 97) 10 85 10 10 84 10 
(158, 99) 10 83 10 10 84 10 
(159, 69) 10 84 10 10 85 10 
(159, 71) 10 87 10 10 86 10 
(159, 80) 10 91 10 10 92 10 
(159, 84) 10 91 10 10 92 10 
(159, 93) 10 87 10 10 86 10 
(159, 98) 10 83 10 10 82 10 
(160, 71) 10 88 10 10 87 10 
(160, 76) 10 91 10 10 90 10 
(160, 81) 10 91 10 10 92 10 
(160, 82) 10 91 10 10 92 10 
(160, 86) 10 90 10 10 89 10 
(160, 94) 10 85 10 10 84 10 
(160, 103) 10 78 10 10 77 10 
(161, 77) 10 91 10 10 92 10 
(161, 79) 10 92 10 10 91 10 
(161, 94) 10 84 10 10 83 10 
(161, 98) 10 80 10 10 81 10 
(162, 69) 10 88 10 10 87 10 
(162, 79) 10 91 10 10 92 10 
(162, 83) 10 90 10 10 89 10 
(162, 98) 10 78 10 10 79 10 
(162, 177) 58 98 182 59 98 182 
(163, 67) 10 87 10 10 88 10 
(163, 75) 10 92 10 10 91 10 
(163, 76) 10 92 10 10 91 10 
(163, 87) 10 86 10 10 87 10 
(163, 177) 55 92 170 55 93 171 
(164, 62) 10 82 10 255 0 255 
(164, 66) 10 88 10 10 87 10 
(164, 76) 10 91 10 10 92 10 
(164, 93) 10 81 10 10 80 10 
(164, 95) 10 78 10 10 79 10 
(164, 177) 49 81 148 49 81 149 
(165, 72) 10 91 10 10 92 10 
(165, 77) 10 90 10 10 91 10 
(165, 79) 10 90 10 10 89 10 
(165, 93) 10 79 10 10 78 10 
(166, 62) 10 87 10 10 86 10 
(166, 63) 10 87 10 10 88 10 
(166, 67) 10 90 10 10 91 10 
(166, 71) 10 92 10 10 91 10 
(166, 72) 10 92 10 10 91 10 
(166, 87) 10 82 10 10 83 10 
(167, 62) 10 88 10 10 87 10 
(167, 69) 10 91 10 10 92 10 
(167, 71) 10 91 10 10 92 10 
(167, 72) 10 91 10 10 92 10 
(167, 80) 10 88 10 10 87 10 
(167, 89) 10 80 10 10 79 10 
(167, 176) 59 99 184 59 99 183 
(168, 69) 10 92 10 10 91 10 
(168, 80) 10 86 10 10 85 10 
(168, 82) 10 84 10 10 85 10 
(169, 69) 10 91 10 10 92 10 
(169, 176) 55 91 169 55 92 169 
(170, 62) 10 91 10 10 90 10 
(170, 71) 10 90 10 10 89 10 
(170, 77) 10 85 10 10 86 10 
(170, 79) 10 84 10 10 85 10 
(170, 80) 10 83 10 10 84 10 
(170, 176) 48 79 145 48 80 146 
(171, 42) 176 176 176 10 85 10 
(171, 65) 10 92 10 10 91 10 
(171, 79) 10 83 10 10 82 10 
(171, 175) 52 86 159 52 86 158 
(171, 199) 10 76 10 10 77 10 
(172, 63) 10 92 10 10 91 10 
(172, 68) 10 90 10 10 89 10 
