Include Background
0. 0.075341
1. 0.0646599
2. 0.0570098
3. 0.0822171
4. 0.0695488
5. 0.0652472
6. 0.0552427
7. 0.0913595
8. 0.0729748
9. 0.0734957
10. 0.31561
11. 0.0678834

Except Background
0. 0.149085
1. 0.127568
2. 0.116421
3. 0.179579
4. 0.160025
5. 0.142946
6. 0.118246
7. 0.195158
8. 0.159398
9. 0.168285
10. 0.689231
11. 0.13891
