Include Background
0. 0.334891
1. 0.330973
2. 0.336391
3. 0.334891
4. 0.333384
5. 0.34159
6. 0.337478
7. 0.313937
8. 0.339507
9. 0.345521
10. 0.343128
11. 0.33802

Except Background
0. 0.61372
1. 0.60657
2. 0.613584
3. 0.601248
4. 0.598234
5. 0.617281
6. 0.629243
7. 0.585645
8. 0.613592
9. 0.620088
10. 0.616081
11. 0.616227
