Include Background
0. 0.0806241
1. 0.0823098
2. 0.0831398
3. 0.0809075
4. 0.0803397
5. 0.0722392
6. 0.0774384
7. 0.0797679
8. 0.0809075
9. 0.0789024
10. 0.0820313
11. 0.0783201

Except Background
0. 0.144543
1. 0.147819
2. 0.149723
3. 0.145652
4. 0.144719
5. 0.130373
6. 0.139383
7. 0.143282
8. 0.14529
9. 0.141366
10. 0.146903
11. 0.140591
