(47, 129) -1 -1 -1 
(48, 128) 1 1 1 
(48, 129) -1 -1 -1 
(49, 128) 1 1 1 
(49, 129) 1 1 1 
(50, 129) 1 1 1 
(51, 129) 1 1 1 
(97, 31) 1 1 1 
(97, 227) -1 -1 -1 
(97, 228) -1 -1 -1 
(98, 31) -1 -1 -1 
(98, 32) -1 -1 -1 
(98, 227) -1 -1 -1 
(99, 225) 1 1 1 
(100, 224) 1 1 1 
(100, 225) 1 1 1 
(132, 220) -1 -1 -1 
(142, 215) 1 1 1 
(143, 213) 1 1 1 
(146, 210) 1 1 1 
(148, 208) 1 1 1 
(148, 209) -1 -1 -1 
(151, 205) 1 1 1 
(152, 203) -1 -1 -1 
(153, 203) 1 1 1 
(155, 200) 1 1 1 
(157, 197) 1 1 1 
(160, 190) -1 -1 -1 
(160, 193) 1 1 1 
(161, 188) -1 -1 -1 
(161, 190) -1 -1 -1 
(161, 192) 1 1 1 
(162, 188) 1 1 1 
(162, 203) -1 -1 -1 
(163, 55) -1 -1 -1 
(163, 186) 1 1 1 
(163, 203) 1 1 1 
(164, 183) 1 1 1 
(165, 180) -1 -1 -1 
(165, 182) -1 -1 -1 
(165, 183) 1 1 1 
(165, 204) -1 -1 -1 
(167, 177) 1 1 1 
(168, 173) -1 -1 -1 
(168, 174) 1 1 1 
(169, 170) 1 1 1 
(169, 171) -1 -1 -1 
(169, 174) 1 1 1 
(169, 178) 1 1 1 
(170, 166) 1 1 1 
(170, 169) -1 -1 -1 
(171, 160) -1 -1 -1 
(171, 162) 1 1 1 
(171, 166) 1 1 1 
(171, 176) 1 1 1 
(172, 157) 1 1 1 
(172, 162) 1 1 1 
(172, 176) 1 1 1 
(173, 150) 1 1 1 
(173, 157) 1 1 1 
(174, 122) -1 -1 -1 
(174, 133) -1 -1 -1 
(174, 138) -1 -1 -1 
(174, 142) 1 1 1 
(174, 148) -1 -1 -1 
(174, 150) 1 1 1 
(174, 173) 1 1 1 
(175, 122) -1 -1 -1 
(175, 133) -1 -1 -1 
(175, 138) -1 -1 -1 
(175, 142) 1 1 1 
(175, 148) -1 -1 -1 
(175, 150) 1 1 1 
(176, 122) -1 -1 -1 
(176, 130) 1 1 1 
(176, 133) -1 -1 -1 
(176, 138) -1 -1 -1 
(176, 140) 1 1 1 
(176, 142) 1 1 1 
(176, 145) 1 1 1 
(177, 169) -1 -1 -1 
(178, 130) 1 1 1 
(178, 131) -1 -1 -1 
(178, 169) -1 -1 -1 
(180, 130) 1 1 1 
(180, 163) 1 1 1 
(180, 165) 1 1 1 
(182, 161) 1 1 1 
(182, 162) -1 -1 -1 
(183, 158) 1 1 1 
(183, 160) -1 -1 -1 
(184, 156) 1 1 1 
(184, 158) 1 1 1 
(185, 152) 1 1 1 
(187, 130) -1 -1 -1 
(187, 143) -1 -1 -1 
(187, 146) -1 -1 -1 
(188, 130) -1 -1 -1 
(188, 131) -1 -1 -1 
(188, 133) -1 -1 -1 
(188, 135) 1 1 1 
(188, 136) 1 1 1 
(188, 143) -1 -1 -1 
(189, 130) -1 -1 -1 
(189, 131) -1 -1 -1 
(189, 133) -1 -1 -1 
(189, 135) 1 1 1 
(189, 136) 1 1 1 
(190, 129) 1 1 1 
(190, 130) 1 1 1 
(191, 129) -1 -1 -1 
(193, 129) -1 -1 -1 
(193, 130) 1 1 1 
(196, 129) -1 -1 -1 
(197, 128) 1 1 1 
(199, 129) -1 -1 -1 
(199, 130) 1 1 1 
(200, 128) -1 -1 -1 
(200, 130) 1 1 1 
(201, 130) 1 1 1 
(202, 130) 1 1 1 
(203, 129) 1 1 1 
(204, 128) 1 1 1 
(206, 129) 1 1 1 
(207, 129) 1 1 1 
(210, 129) -1 -1 -1 
(211, 129) -1 -1 -1 
(212, 129) -1 -1 -1 
(213, 128) 1 1 1 
(214, 128) -1 -1 -1 
(217, 130) 1 1 1 
(218, 128) 1 1 1 
(218, 130) 1 1 1 
(219, 129) 1 1 1 
(219, 130) 1 1 1 
(221, 128) 1 1 1 
(222, 129) 1 1 1 
(224, 129) -1 -1 -1 
(226, 128) -1 -1 -1 
(227, 130) 1 1 1 
(228, 128) 1 1 1 
(229, 128) -1 -1 -1 
(230, 129) -1 -1 -1 
(231, 129) -1 -1 -1 
(235, 128) -1 -1 -1 
(235, 129) 1 1 1 
(236, 130) 1 1 1 
(237, 130) 1 1 1 
(238, 128) 1 1 1 
(238, 129) -1 -1 -1 
(238, 130) 1 1 1 
