Include Background
0. 0.420789
1. 0.0570098
2. 0.0589831
3. 0.493163
4. 0.074731
5. 0.0578072
6. 0.389079
7. 0.0645418
8. 0.0679957
9. 0.34226
10. 0.0863803
11. 0.0759462

Except Background
0. 0.731365
1. 0.0963781
2. 0.0961217
3. 0.773012
4. 0.113548
5. 0.0879937
6. 0.595015
7. 0.102673
8. 0.111277
9. 0.585321
10. 0.151104
11. 0.131931
